type,name,text,ttl,comment,disabled,zone
txt,gkb.ch,"""v=spf1 mx include:spf.umantis.com include:spf.abacuscity.ch include:mailing.eqs.com include:_spf.general.transactional-mail-a.com -all""",900,,False,gkb.ch
txt,gkb.ch,"""d82fbda8-9db0-485b-8fac-534ed12ce08b""",900,,False,gkb.ch
txt,gkb.ch,"""MS=D58DEA8A0DE070A3723E45B7C38394EA86BC7065""",900,,False,gkb.ch
txt,gkb.ch,"""facebook-domain-verification=8k3obh3x0ejg6nycbh4n5d9c8vc5et""",900,,False,gkb.ch
txt,gkb.ch,"""atlassian-domain-verification=i9dltSyIDwQUSxHJicPIFjFKz9hVLnfyqrirMv70Ah55mlXKYVUcCW0YH3KdWBfu""",900,,False,gkb.ch
txt,gkb.ch,"""figma-domain-verification=6c70910491e52ea55ece03da109f8b0ba51113afdafa0656664e2f33c255d6ea-1723532814""",900,,False,gkb.ch
txt,gkb.ch,"""atlassian-sending-domain-verification=f2b6c8ef-97a4-427a-8748-b0b7f9f04b53""",900,,False,gkb.ch
txt,mailjet._43176c9c.gkb.ch,"""43176c9c8b4feff76ede2da54ae20d2d""",14400,,False,gkb.ch
txt,_dmarc.gkb.ch,"""""v=DMARC1""",14400,,False,gkb.ch
txt,mailjet._domainkey.gkb.ch,"""""k=rsa""",14400,,False,gkb.ch
txt,retarusbsi._domainkey.gkb.ch,"""""v=DKIM1""",14400,,False,gkb.ch
