type,name,address,ttl,comment,disabled,zone
a,tste-banking.grkb.ch,145.252.1.19,14400,,False,grkb.ch
a,web.grkb.ch,193.93.21.134,14400,,False,grkb.ch
a,www.grkb.ch,145.252.0.138,14400,,False,grkb.ch
a,inventx.ch,34.65.165.226,14400,,False,inventx.ch
a,ac.inventx.ch,185.178.61.175,300,,False,inventx.ch
a,ac-test.inventx.ch,185.178.61.45,14400,,False,inventx.ch
a,accounting-api.inventx.ch,185.178.60.65,14400,,False,inventx.ch
a,accounting-api-test.inventx.ch,185.178.60.65,14400,,False,inventx.ch
a,av.inventx.ch,193.192.241.219,14400,,False,inventx.ch
a,cli-itsm-api.inventx.ch,185.178.60.33,14400,,False,inventx.ch
a,cli-itsm-api-test.inventx.ch,185.178.60.79,14400,,False,inventx.ch
a,crl.inventx.ch,185.178.60.81,14400,,False,inventx.ch
a,dialin.inventx.ch,193.192.241.220,3600,,False,inventx.ch
a,dns1.inventx.ch,193.192.241.167,14400,,False,inventx.ch
a,dns2.inventx.ch,145.252.0.80,14400,,False,inventx.ch
a,doku.inventx.ch,185.178.61.176,300,,False,inventx.ch
a,doku-test.inventx.ch,185.178.61.176,14400,,False,inventx.ch
a,dummy.inventx.ch,185.178.60.253,14400,,False,inventx.ch
a,extranet.inventx.ch,193.192.241.193,14400,,False,inventx.ch
a,finpatchtool.inventx.ch,185.178.61.120,120,,False,inventx.ch
a,finpatchtool-test.inventx.ch,185.178.61.119,120,,False,inventx.ch
a,gitlab.inventx.ch,185.178.60.66,14400,,False,inventx.ch
a,helix-test.inventx.ch,185.178.62.95,14400,,False,inventx.ch
a,hp-itsm-api.inventx.ch,185.178.62.83,14400,,False,inventx.ch
a,hp-itsm-api-test.inventx.ch,185.178.62.84,14400,,False,inventx.ch
a,itsm.inventx.ch,185.178.61.121,120,,False,inventx.ch
a,itsm-api.inventx.ch,185.178.62.94,14400,,False,inventx.ch
a,itsm-api-tst.inventx.ch,185.178.62.95,14400,,False,inventx.ch
a,itsm-dev.inventx.ch,185.178.62.95,120,,False,inventx.ch
a,itsm-stg.inventx.ch,185.178.61.104,120,,False,inventx.ch
a,itsm-uat.inventx.ch,185.178.61.104,120,,False,inventx.ch
a,jira.inventx.ch,185.178.61.176,300,,False,inventx.ch
a,jira-test.inventx.ch,185.178.61.176,14400,,False,inventx.ch
a,localhost.inventx.ch,127.0.0.1,14400,,False,inventx.ch
a,lyncweb.inventx.ch,193.192.241.220,3600,,False,inventx.ch
a,mdm.inventx.ch,193.192.241.222,14400,,False,inventx.ch
a,meet.inventx.ch,193.192.241.220,3600,,False,inventx.ch
a,mehrwerk.inventx.ch,94.126.20.124,14400,,False,inventx.ch
a,mx1.inventx.ch,185.178.62.36,14400,,False,inventx.ch
a,mx2.inventx.ch,185.178.62.37,14400,,False,inventx.ch
a,mxhybrid.inventx.ch,185.178.62.38,14400,,False,inventx.ch
a,mxhybrid.inventx.ch,185.178.62.39,14400,,False,inventx.ch
a,myitsm-tst.inventx.ch,185.178.62.95,14400,,False,inventx.ch
a,nextdrive.inventx.ch,185.178.62.118,60,,False,inventx.ch
a,ns1.inventx.ch,193.192.241.173,14400,,False,inventx.ch
a,ns2.inventx.ch,193.192.241.174,14400,,False,inventx.ch
a,reportserver.inventx.ch,185.178.60.128,14400,,False,inventx.ch
a,reportserver-t.inventx.ch,185.178.60.127,14400,,False,inventx.ch
a,sbc1.inventx.ch,185.178.62.46,300,,False,inventx.ch
a,sbc2.inventx.ch,185.178.62.45,300,,False,inventx.ch
a,secrets.inventx.ch,185.178.61.177,14400,,False,inventx.ch
a,secrets-test.inventx.ch,185.178.60.126,14400,,False,inventx.ch
a,securemail.inventx.ch,185.178.62.40,300,,False,inventx.ch
a,sentry.inventx.ch,193.192.241.221,14400,,False,inventx.ch
a,sftp.inventx.ch,193.192.241.210,14400,,False,inventx.ch
a,tlab-sras.inventx.ch,193.192.241.149,14400,,False,inventx.ch
a,itsm-dev.tst.inventx.ch,185.178.62.95,14400,,False,inventx.ch
